Risk Level,Score  
Low,0.2  
Low,0.2  
Moderate,0.5  
Low,0.2  
Low,0.2  
High,0.8  
Very High,0.9  
Low,0.2  
Moderate,0.5  
Low,0.2  
Low,0.2  
Low,0.2  
Moderate,0.5  
High,0.8  
Moderate,0.5  
Very High,0.9  
High,0.8  
Low,0.2  
Moderate,0.5  
Low,0.2  
Moderate,0.5  
Low,0.2  
High,0.8  
Low,0.2  
Very High,0.9  
Moderate,0.5  
Low,0.2  
Low,0.2
Low,0.2
Moderate,0.5
Low,0.2
Low,0.2
High,0.8
Low,0.2
Very High,0.9
Moderate,0.5
Low,0.2
Low,0.2
Low,0.2
Low,0.2
Moderate,0.5
Low,0.2
Low,0.2
Moderate,0.5
Moderate,0.5
Low,0.2
Low,0.2
High,0.8
Moderate,0.5
Moderate,0.5
High,0.8
Moderate,0.5
Very High,0.9
High,0.8
Moderate,0.5
High,0.8
Medium,0.5
Low,0.2
Very High,0.9
Low,0.2
Medium,0.5
Medium,0.5
Medium,0.5
High,0.8
Medium,0.5
Medium,0.5
Very High,0.9
Medium,0.5
High,0.8
Medium,0.5

